Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Star Wars: Kampf um die Galaxies;Regal 6;Ebene 7;Daniel Wallace;Star Wars;96;2011
Star Wars: Das geheime Wissen der Jedi;Regal 6;Ebene 7;Elisabeth Dowsett und Shari Last;Star Wars;96;2011
Star Wars: Die geheime Welt der Droiden;Regal 6;Ebene 7;Jason Fry;Star Wars;96;2012
Star Wars: Hüte dich vor den Sith;Regal 6;Ebene 7;Shari Last;Star Wars;96;2012
Star Wars - Cosmic Shells;Regal 6;Ebene 7;Rewe Markengroup;Star Wars;5;2015
Star Wars: The Essential Atlas;Regal 6;Ebene 7;Daniel Wallace & Jason Fry;Star Wars;244;2009
Star Wars - Schauplätze und Planeten;Regal 6;Ebene 7;Kristin Lund, Simon Beecroft, Kerrie Dougherty, James Luceno und Jason Fry;Star Wars;188;2016
Star Wars The Clone Wars - Raumschiffe und Fahrzeuge;Regal 6;Ebene 7;Jason Fry;Star Wars;128;2012
LEGO Star Wars - Lexikon der Figuren, Raumschiffe und Droiden;Regal 6;Ebene 7;Simon Beecroft;Star Wars;96;2009
Star Wars - Die illustrierte Chronik der kompletten Saga (Episode I bis VI);Regal 6;Ebene 7;Ryder Windham;Star Wars;160;2005/2011
Nationale Arbeit - Das Zentrum und sein Wirken ider deutschen Republik;Regal 1;Ebene 8;Karl Anton Schulte;Sachbuch zu Poltik der Weimarer Republik;494;1929
Das Ehrenbuch des deutschen Volkes;Regal 1;Ebene 8;Hans F. Helmolt ;Sachbuch zu Geschichte der Deutsche;317;1924
Ratgeber Recht;Regal 1;Ebene 8;Verschiedene Anwälte;Sachbuch zu Recht und Gesetz in Deutschland;706;1992
Lebenslauf Lehmann: Schulausbildung, Elektroinstallateur, Bundeswehr Deutschland, Landesregierung NRW;Regal 1;Ebene 8;Deutschland;9. Elemente des Lebens;6 Akten;1966-2016
Lebenslauf Lehmann: Landesregierung NRW;Regal 1;Ebene 8;Deutschland;9. Elemente des Lebens;;2016-
Leerer Ordner;Regal 1;Ebene 8;;;;
Leerer Ordner;Regal 1;Ebene 8;;;;
Lebenslauf Scheuer: Studium Allgemeine Informatik, Vorbereitung, Umschulung Anwendungsentwickler, ;Regal 1;Ebene 8;Deutschland;9. Elemente des Lebens;4 Akten;2016-
Strom, Miereverein, Unitymedia/Vodafone;Regal 1;Ebene 8;Deutschland;4. Elemente der Wohnung;3 Akten;2016-
Reisen: Masterplan 1;Regal 1;Ebene 8;Ziele Masterplan 1;3. Elemente der Welt;8 Akten;2018-
Leerer Ordner;Regal 1;Ebene 8;;;;
Eigentumswohnung in Herzogenrath und seine Schulden;Regal 1;Ebene 8;Bad Homburger Inkasso;4. Elemente der Wohnung;4 Akten;2000-
Untersuchung der Menschen;Regal 1;Ebene 8;Frank-Peter Scheuer;9. Elemente des Lebens;3 Akten;2010-
Star Wars The Clone Wars Band 1: Dem Untergang geweiht;Regal 2;Ebene 8;Henry Gilroy;The Clone Wars-Comicreihe;100;2010
Star Wars The Clone Wars Band 2: Crashkurs;Regal 2;Ebene 8;Henry Gilroy & Gary Scheppke;The Clone Wars-Comicreihe;100;2011
Star Wars The Clone Wars Band 3: Sklaven der Republik;Regal 2;Ebene 8;Henry Gilroy;The Clone Wars-Comicreihe;144;2011
